id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
13,Chủ thể nào có thẩm quyền phê duyệt điều chỉnh dự án đầu tư xây dựng?,Người quyết định đầu tư,Chủ đầu tư,Ban quản lý dự án,Ban điều hành,1,"Khoản  2, 3 Điều 61 Luật xây dựng số: 50/2014/QH13"
14,"Căn cứ mức độ quan trọng và quy mô, dự án đầu tư xây dựng được phân thành những loại nào?","Dự án quan trọng quốc gia, nhóm A, B và C","Nhóm A, B và C","Nhóm A, B, C và D",,1,Khoản 8 Điều 1 Luật Xây dựng sửa đổi 2020
15,Sơ bộ tổng mức đầu tư xây dựng là một nội dung của Báo cáo nào?,Báo cáo nghiên cứu khả thi đầu tư xây dựng,Báo cáo nghiên cứu tiền khả thi đầu tư xây dựng,Báo cáo kinh tế - kỹ thuật,Báo cáo lập dự án đầu tư xây dựng,2,"Khoản 1, Điều 4, Nghị định số: 10/2021/NĐ-CP ngày 09/2/2021"
16,"Khi sử dụng phương pháp đánh giá dự án bằng giá trị hiện tại thuần (Net Present Value), quyết định chấp nhận dự án nếu?",NPV bằng đầu tư ban đầu,NPV có thể <0 nhưng IRR (Internal Rate of Return) tối thiểu bằng lãi suất tiền gửi ngân hàng,NPV>0,NPV có thể lớn hơn hoặc nhỏ hơn 0 nhưng IRR của dự án lớn hơn lãi suất cho vay,3,Chỉ số NPV càng cao chứng tỏ dự án càng đem về nhiều lợi nhuận cho nhà đầu tư. 
17,"Theo Quyết định 409/QĐ-BXD ngày 11/4/2025, suất vốn đầu tư xây dựng không bao gồm những nội dung nào sau đây?",Chi phí xây dựng; chi phí thiết bị.,Chi phí tư vấn đầu tư xây dựng.,"Chi phí dự phòng và chi phí thực hiện một số loại công việc theo yêu cầu riêng của dự án, công trình.",Chi phí quản lý dự án.,3,"Khoản 2, mục I phần 1, Quyết định 409/QĐ-BXD ngày 11/4/2025"
18,"Theo Nghị định số: 10/2021/NĐ-CP, phí thẩm định dự án đầu tư xây dựng công trình thuộc khoản mục chi phí nào trong Tổng mức đầu tư dự án theo phương án trả lời dưới đây là đúng?",Chi phí quản lý dự án.,Chi phí xây dựng.,Chi phí khác.,,3,"Điểm e, khoản 2, Điều 5, Nghị định số: 10/2021/NĐ-CP ngày 09/2/2021"
19,"Theo Thông tư số 11/2021/TT-BXD, chi phí chung của chi phí xây dựng gồm những chi phí nào sau đây?",Chi phí quản lý doanh nghiệp.,Chi phí điều hành sản xuất tại công trường.,Chi phí người sử dụng lao động phải nộp cho người lao động theo quy định.,"Cả 3 đáp án 1, 2, 3 đều đúng.",4,Mục II Phụ lục III Thông tư số 11/2021/TT-BXD ngày 31/8/2021
20,"Theo Nghị định 37/2015/NĐ-CP, việc thanh toán hợp đồng xây dựng được thực hiện như thế nào là đúng sau đây?","Phải phù hợp với loại hợp đồng, giá hợp đồng và các điều kiện trong hợp đồng mà các bên đã ký kết.","Khi thanh toán theo các thỏa thuận trong hợp đồng các bên không phải ký phụ lục hợp đồng, trừ trường hợp bổ sung công việc chưa có trong hợp đồng.",Thanh toán theo khối lượng hoàn thành được nghiệm thu sau khi trừ tạm ứng.,Đáp án 1 và 2 đúng. ,4,Khoản 1 Điều 19 Nghị định 37/2015/NĐ-CP ngày 22/4/2015
21,"Theo Thông tư 12/2021-BXD ngày 31/8/2021, dự án đầu tư xây dựng công trình Trụ sở làm việc lập tháng 11/2021 gồm có 1 tòa nhà làm việc cao 7 tầng ngoài ra còn đường nội bộ, cổng hàng rào và nhà bảo vệ. Hỏi chi phí tư vấn thiết kế bản vẽ thi công tính thế nào là đúng?",Tính dự toán chi phí xây dựng các công trình trong tổng mức đầu tư và tra định mức chi phí thiết kế công trình dân dụng. Chi phí tư vấn thiết kế tính ra như trên chưa có thuế giá trị gia tăng.,Tính dự toán chi phí xây dựng các công trình trong tổng mức đầu tư và tra định mức chi phí thiết kế công trình dân dụng. Chi phí tư vấn thiết kế tính ra như trên đã có thuế giá trị gia tăng.,"Chi phí thiết kế xây dựng xác định theo định mức chi phí tỷ lệ phần trăm (%) nhân với chi phí xây dựng (chưa có thuế giá trị gia tăng) của từng công trình (tương ứng với loại, cấp công trình) trong tổng mức đầu tư được duyệt hoặc của từng gói thầu xây dựng trong trường hợp dự án, công trình được người quyết định đầu tư cho phép triển khai thiết kế xây dựng sau thiết kế cơ sở theo từng gói thầu xây dựng.",Tra định mức chi phí tỷ lệ cho từng công trình theo giá trị chi phí xây dựng trước thuế của từng hạng mục. Cộng các chi phí tư vấn thiết kế của tất cả các hạng mục tính được chi phí tư vấn thiết kế của dự án. Chi phí tư vấn thiết kế tính ra như trên đã có thuế giá trị gia tăng.,3,Mục 3 Chương II Thông tư 12/2021-BXD ngày 31/8/2021
22,"Theo Quyết định số: 409/QĐ-BXD ngày 11/4/2025, phát biểu nào dưới đây về Suất vốn đầu tư do Bộ Xây dựng công bố là đúng?","Suất vốn đầu tư bao gồm các chi phí: xây dựng, thiết bị, quản lý dự án đầu tư xây dựng, tư vấn đầu tư xây dựng, các khoản chi phí khác và chi phí dự phòng. Suất vốn đầu tư tính toán đã bao gồm thuế giá trị gia tăng cho các chi phí nêu trên.","Suất vốn đầu tư bao gồm các chi phí: xây dựng, thiết bị, quản lý dự án đầu tư xây dựng, tư vấn đầu tư xây dựng và các khoản chi phí khác. Suất vốn đầu tư tính toán chưa bao gồm thuế giá trị gia tăng cho các chi phí nêu trên.","Suất vốn đầu tư xây dựng chưa bao gồm chi phí dự phòng và chi phí thực hiện một số loại công việc theo yêu cầu riêng của dự án, công trình cụ thể như Chi phí bồi thường, hỗ trợ và tái định cư; Lãi vay trong thời gian thực hiện đầu tư xây dựng; Vốn lưu động ban đầu; Một số chi phí có tính chất riêng biệt theo từng dự án,...",,3,Mục 2 phần 1 Quyết định số: 409/QĐ-BXD ngày 11/4/2025
23,"Theo Nghị định số:  10/2021/NĐ-CP, Dự án đầu tư xây dựng phải thực hiện quyết toán vốn đầu tư xây dựng trong trường hợp nào sau đây?",Sau khi công trình của dự án được hoàn thành bàn giao đưa vào sử dụng.,Dự án bị dừng thực hiện vĩnh viễn khi cấp có thẩm quyền có văn bản dừng hoặc cho phép chấm dứt thực hiện dự án.,Đáp án 1 và 2 đúng.,Khi người quyết định đầu tư yêu cầu.,3,Khoản 1 Điều 35 Nghị định số:  10/2021/NĐ-CP ngày 09/02/2021
24,"Theo Nghị định số:  10/2021/NĐ-CP, có bao nhiêu khoản mục chi phí trong tổng mức đầu tư xây dựng?",9 khoản mục.,10 khoản mục.,7 khoản mục.,8 khoản mục.,3,Khoản 1 Điều 4 Nghị định số:  10/2021/NĐ-CP ngày 09/02/2021
25,"Theo Nghị định số:  37/2015/NĐ-CP, quy định nào sau đây về thu hồi tiền tạm ứng là đúng?",Phải đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 80% giá trị hợp đồng.,Phải đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 90% giá trị hợp đồng.,Bắt buộc thu hồi tạm ứng từ lần thanh toán đầu tiên theo tỷ lệ phần trăm tiền tạm ứng và đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 90% giá trị hợp đồng.,Bắt buộc thu hồi tạm ứng từ lần thanh toán đầu tiên theo tỷ lệ phần trăm tiền tạm ứng và đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 95% giá trị hợp đồng.,1,Tiết đ khoản 5 Điều18 Nghị định số:  37/2015/NĐ-CP ngày 22/4/2015
26,"Theo Thông tư số 11/2021/TT-BXD, chi phí mua bảo hiểm trách nhiệm nghề nghiệp tư vấn thiết kế xây dựng của công trình từ cấp II trở lên thuộc khoản mục chi phí nào của dự toán gói thầu tư vấn đầu tư xây dựng?",Chi phí xây dựng.,Chi phí thiết bị.,Chi phí quản lý.,,3,Phụ lục 4 Thông tư số 11/2021/TT-BXD 
27,"Theo Nghị định 10/2021/NĐ-CP, chi phí xây dựng công trình phụ trợ phục vụ thi công thuộc chi phí nào trong tổng mức đầu tư của dự án đầu tư xây dựng công trình?",Chi phí xây dựng công trình,Chi phí khác.,Chi phí quản lý dự án.,Chi phí dự phòng.,1,Khoản 2 Điều 5 Nghị định 10/2021/NĐ-CP 
28,"Theo pháp luật xây dựng, trình tự đầu tư xây dựng được chia thành mấy giai đoạn?",3 giai đoạn gồm giai đoạn chuẩn bị đầu tư; giai đoạn thực hiện đầu tư; giai đoạn kết thúc đầu tư.,"3 giai đoạn gồm giai đoạn chuẩn bị dự án; giai đoạn thực hiện dự án; giai đoạn kết thúc xây dựng đưa công trình của dự án vào khai thác sử dụng, trừ trường hợp xây dựng nhà ở riêng lẻ.",3 giai đoạn gồm giai đoạn gồm giai đoạn tiền dự án; giai đoạn chuẩn bị dự án; giai đoạn thực hiện dự án.,4 giai đoạn gồm giai đoạn tiền đầu tư; giai đoạn chuẩn bị đầu tư; giai đoạn thực hiện đầu tư; giai đoạn kết thúc đầu tư.,2,Khoản 1 Điều 50 Luật Xây dựng 2014
29,"Theo Quyết định 409/QĐ-BXD ngày 11/4/2025, trong Suất vốn đầu tư do Bộ Xây dựng công bố gồm nội dung nào?",Chưa bao gồm thuế giá trị gia tăng.,Đã bao gồm thuế giá trị gia tăng.,Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.,,2,Mục 2  phần 1 Quyết định 409/QĐ-BXD ngày 11/4/2025
30,"Theo Nghị định 10/2021/NĐ-CP, vì sao chi phí dự phòng trong dự án đầu tư xây dựng lớn và phức tạp cần cao hơn chi phí dự phòng trong các dự án khác?","Do nhiều cơ quan có liên quan nên có nhiều yêu cầu mới đặt ra khiến phải thay đổi thiết kế trong quá trình thực hiện để đáp ứng, từ đó chi phí phát sinh tăng lên.",Do thời gian thực hiện dự án đầu tư xây dựng lớn và phức tạp nên rủi ro nhiều hơn.,Do sử dụng nhiều chủng loại vật liệu và máy móc thiết bị hơn.,Tất cả các ý trên đều đúng.,2,Khoản 7 Điều 12 Nghị định 10/2021/NĐ-CP
31,"Trong quá trình lựa chọn nhà thầu, trường hợp thương thảo không thành công, Bên mời thầu thực hiện nhiệm vụ gì?",Hủy thầu,Đấu thầu lại,"Báo cáo chủ đầu tư xem xét, quyết định mời nhà thầu xếp hạng tiếp theo vào thương thảo",,3,"Khoản 9, Điều 28, Quy định 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
32,"Theo Nghị định 175/2024/NĐ-CP, dự án đầu tư xây dựng được phân thành loại và nhóm A, B, C đối với các nguồn vốn nào?",Nguồn vốn đầu tư công.,Nguồn vốn nhà nước ngoài đầu tư công.,"Tất cả các nguồn vốn nêu tại đáp án 1, 2.",,3,Khoản 2 Điều 5 Nghị định 175/2024/NĐ-CP ngày 30/12/2024
33,"Theo Nghị định 175/2024/NĐ-CP, công tác nào sau đây ở giai đoạn thực hiện dự án?",Thanh toán khối lượng xây lắp hoàn thành.,Giám sát thi công xây dựng.,"Vận hành, chạy thử; nghiệm thu hoàn thành công trình xây dựng.",Tất cả các công tác trên.,4,Khoản 1 Điều 4 Nghị định 175/2024/NĐ-CP ngày 30/12/2024
34,"Theo Thông tư 06/2021/TT-BXD, việc phân cấp công trình xây dựng theo quy định của pháp luật về xây dựng trên cơ sở tiêu chí nào?","Theo mức độ quan trọng, quy mô công suất, quy mô kết cấu.",Theo kiến trúc công trình.,Do người quyết định đầu tư quy định.,Do chủ đầu tư quy định.,1,Khoản 1 Điều 2 Thông tư 06/2021/TT-BXD
35,"Theo Luật Xây dựng sửa đổi số 62/2020/QH14, các dự án đầu tư xây dựng có quy mô nhóm nào yêu cầu phải lập Báo cáo nghiên cứu tiền khả thi để trình cấp có thẩm quyền quyết định hoặc chấp thuận chủ trương đầu tư?",Dự án quan trọng quốc gia.,Dự án PPP theo quy định của pháp luật về đầu tư theo phương thức đối tác công tư.,Dự án nhóm A sử dụng vốn đầu tư công.,"Cả 3 đáp án 1, 2, 3 đúng.",4,Khoản 10 Điều 1 Luật Xây dựng sửa đổi số 62/2020/QH14
36,"Theo Luật Xây dựng sửa đổi số 62/2020/QH14, Đối với dự án đầu tư xây dựng sử dụng vốn nhà nước ngoài đầu tư công, cơ quan chuyên môn về xây dựng thẩm định báo cáo nghiên cứu khả thi đối với dự án nào sau đây?",Dự án từ nhóm B trở lên.,"Dự án có công trình ảnh hưởng lớn đến an toàn, lợi ích cộng đồng thuộc chuyên ngành quản lý.",Đáp án 1 và 2 đúng.,,3,"Khoản 14, khoản 15 Điều 1 Luật Xây dựng sửa đổi số 62/2020/QH14"
37,"Theo Nghị định 175/2024/NĐ-CP, đối với các Dự án đầu tư xây dựng điều chỉnh, cơ quan chuyên môn về xây dựng thẩm định Báo cáo nghiên cứu khả thi điều chỉnh trong trường hợp nào sau đây?","Khi điều chỉnh quy hoạch làm thay đổi phạm vi, ranh giới dự án.","Khi điều chỉnh làm tăng tổng mức đầu tư dự án đối với dự án sử dụng vốn đầu tư công, dự án sử dụng vốn nhà nước ngoài đầu tư công.",Cả đáp án 1 và 2 đúng.,,3,Khoản 2 Điều 23 Nghị định 175/2024/NĐ-CP ngày 30/12/2024
38,"Theo Luật Xây dựng sửa đổi số 62/2020/QH14, đối với dự án sử dụng vốn đầu tư công, dự án sử dụng vốn nhà nước ngoài đầu tư công chỉ cần lập Báo cáo kinh tế - kỹ thuật, người quyết định đầu tư thẩm định những nội dung nào sau đây?","Sự phù hợp về quy hoạch, mục tiêu, quy mô đầu tư và các yêu cầu khác được xác định trong quyết định hoặc chấp thuận chủ trương đầu tư xây dựng.",Sự đáp ứng yêu cầu của thiết kế bản vẽ thi công về bảo đảm an toàn công trình và biện pháp bảo đảm an toàn công trình lân cận.,"Việc lập tổng mức đầu tư xây dựng, xác định giá trị tổng mức đầu tư xây dựng.","Tất cả các nội dung ở đáp án 1, 2, 3.",4,Khoản 14 Điều 1 Luật Xây dựng sửa đổi số 62/2020/QH14
39,"Theo Luật Xây dựng sửa đổi số 62/2020/QH14, đối với công trình xây dựng sử dụng vốn đầu tư công, công trình xây dựng sử dụng vốn nhà nước ngoài đầu tư công, chủ đầu tư thẩm định thiết kế xây dựng triển khai sau thiết kế cơ sở đối với các nội dung nào sau đây?","Đáp ứng yêu cầu của thiết kế xây dựng với nhiệm vụ thiết kế, quy định tại hợp đồng thiết kế và quy định của pháp luật có liên quan.",Sự phù hợp của thiết kế xây dựng với yêu cầu về dây chuyền và thiết bị công nghệ (nếu có).,Việc lập dự toán xây dựng công trình; sự phù hợp của giá trị dự toán xây dựng công trình với giá trị tổng mức đầu tư xây dựng; xác định giá trị dự toán xây dựng công trình.,"Bao gồm tất cả các nội dung ở dáp án 1, 2, 3.",4,Khoản 25 Điều 1 Luật Xây dựng sửa đổi số 62/2020/QH14
40,"Theo Nghị định 06/2021/NĐ-CP, chủ thể nào có trách nhiệm thực hiện bảo hành công trình xây dựng?",Chủ đầu tư xây dựng công trình,Nhà thầu thi công xây dựng công trình,Nhà thầu thiết kế xây dựng,Nhà thầu giám sát thi công,2,Khoản 1 Điều 28 Nghị định 06/2021/NĐ-CP
41,"Theo Nghị định 37/2015/NĐ-CP, trường hợp công việc chưa đủ điều kiện để xác định chính xác về số lượng hoặc khối lượng thì nên áp dụng hình thức hợp đồng nào là thích hợp nhất?",Hợp đồng trọn gói.,Hợp đồng theo đơn giá cố định.,Hợp đồng theo thời gian.,Hợp đồng theo tỷ lệ phần trăm.,2,Khoản 5 Điều 15 Nghị định 37/2015/NĐ-CP
42,"Theo Nghị định 37/2015/NĐ-CP, bên giao thầu có quyền chấm dứt hợp đồng trong các trường hợp nào sau đây?","Bên nhận thầu bị phá sản, giải thể hoặc chuyển nhượng hợp đồng xây dựng cho người hoặc tổ chức mà không có sự chấp thuận của bên giao thầu.","Bên nhận thầu từ chối thực hiện công việc theo hợp đồng hoặc 56 ngày liên tục không thực hiện công việc theo hợp đồng, dẫn đến vi phạm tiến độ thực hiện theo thỏa thuận hợp đồng, trừ trường hợp được phép của bên giao thầu.",Bao gồm các đáp án 1 và 2.,Việc chấm dứt hợp đồng là do bên giao thầu quyết định.,3,Khoản 7 Điều 41 Nghị định 37/2015/NĐ-CP
43,"Theo Nghị định 175/2024/NĐ-CP, bản vẽ thiết kế xây dựng trong hồ sơ đề nghị cấp giấy phép xây dựng là bản vẽ của bước thiết kế nào?",Thiết kế cơ sở.,Thiết kế xây dựng triển khai sau thiết kế cơ sở được phê duyệt theo quy định của pháp luật về xây dựng.,"Thiết kế bản vẽ thi công đã được thẩm định, phê duyệt.",Thiết kế sơ bộ.,2,Khoản 1 Điều 55 Nghị định 175/2024/NĐ-CP ngày 30/12/2024
44,"Luật Xây dựng sửa đổi số 62/2020/QH14, khi khởi công xây dựng công trình yêu cầu phải có các điều kiện nào dưới đây?",Có mặt bằng xây dựng để bàn giao toàn bộ hoặc từng phần theo tiến độ xây dựng.,"Có thiết kế bản vẽ thi công của hạng mục công trình, công trình khởi công đã được phê duyệt.",Đáp ứng cả điều kiện nêu tại đáp án 1 và 2.,Chỉ cần đáp ứng điều kiện tại đáp án 1 hoặc 2.,3,Khoản 39 Điều 1 Luật Xây dựng sửa đổi số 62/2020/QH14
45,"Theo Thông tư 11/2021/TT-BXD ngày  31/8/2021, đối với công trình dân dụng, thu nhập chịu thuế tính trước được tính bằng bao nhiêu phần trăm (%) trên chi phí trực tiếp và chi phí gián tiếp trong dự toán chi phí xây dựng?",5.50%,6.50%,7.50%,10.00%,1,"Khoản III, Phụ lục III, Thông tư 11/2021/TT-BXD ngày  31/8/2021"
46,"Theo Nghị định 37/2015/NĐ-CP ngày 22/4/2015, hợp đồng thi công xây dựng công trình được thanh lý khi nào?","Khi nghiệm thu, hoàn thành hạng mục công trình, công trình đưa vào sử dụng.",Khi hết thời hạn bảo hành.,"Khi bên nhận thầu đã hoàn thành nghĩa vụ bảo hành hạng mục công trình, công trình.",Khi bên giao thầu và bên nhận thầu đã hoàn thành tất cả các nghĩa vụ theo hợp đồng xây dựng đã ký.,4,"Khoản 3, Điều 147, Luật Xây dựng số 50/2014/QH13"
47,"Theo Quy chế 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024, thời gian thực hiện dự án tính từ thời điểm phê duyệt dự án cho đến khi bàn giao công trình đưa vào sử dụng đối với công trình trụ sở có tổng mức đầu tư dưới 15 tỷ đồng tối đa là bao lâu?",05 năm,04 năm,03 năm,02 năm,4,"Điểm c, Khoản 1, Điều 10 Quy định 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024"
48,Chủ thể nào sau đây có trách nhiệm lập bản vẽ hoàn công công trình?,Chủ đầu tư,Nhà thầu thiết kế xây dựng,Nhà thầu thi công xây dựng ,Nhà thầu tư vấn giám sát,3,Khoản 13 Điều 13 Nghị định 06/2021/NĐ-CP ngày 26/01/2021
49,"Theo Quy chế 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024, thời gian lập hồ sơ quyết toán dự án hoàn thành (tính từ thời điểm bàn giao đưa công trình vào sử dụng) đối với công trình có tổng mức đầu tư dưới 45 tỷ đồng tối đa bao nhiêu tháng?",4 tháng,5 tháng,6 tháng,7 tháng,1,"Điểm b, Khoản 2, Điều 10 Quy định 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024"
50,"Theo Quy chế 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024, thời gian thẩm tra, phê duyệt quyết toán dự án hoàn thành đối với công trình có tổng mức đầu tư dưới 45 tỷ đồng tối đa bao nhiêu tháng kể từ khi nhận đủ hồ sơ?",3 tháng,4 tháng,5 tháng,6 tháng,1,"Điểm b, Khoản 2, Điều 14 Quy định 1399/QĐ-HĐTV-QLĐT ngày 02/12/2024"
51,"Theo Quy định số 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024, đối với các dự án xây dựng trong hệ thống Agribank do Tổng Giám đốc làm Chủ đầu tư trừ những dự án do Ban quản lý dự án đầu tư xây dựng khu vực thực hiện, ai là người được phép lựa chọn nhà thầu đối với các gói thầu tư vấn có giá trị dưới 0,5 tỷ đồng?",Hội đồng thành viên.,Tổng Giám đốc.,Đơn vị kế hoạch.,Đơn vị kế hoạch hoặc Tổng Giám đốc tùy theo Tổng mức đầu tư từng dự án.,3,"Điểm k, khoản 2 Điều 5 Quy định số 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
52,"Theo Quy định số 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024, mức tạm ứng hợp đồng tư vấn tối thiểu là bao nhiêu?","- 40% giá hợp đồng đối với hợp đồng có giá trị trên 10 tỷ đồng;
- 60% giá hợp đồng đối với các hợp đồng có giá trị đến 10 tỷ đồng.","- 50% giá hợp đồng đối với hợp đồng có giá trị trên 10 tỷ đồng;
- 70% giá hợp đồng đối với các hợp đồng có giá trị đến 10 tỷ đồng.","- 15% giá hợp đồng đối với hợp đồng có giá trị trên 10 tỷ đồng;
- 20% giá hợp đồng đối với các hợp đồng có giá trị đến 10 tỷ đồng.",,3,"Điểm a, Khoản 2 Điều 36 Quy định số 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
53,"Theo Quy định số 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024, thời gian bảo hành công trình tối thiểu được quy định như thế nào?","Không ít hơn 12 tháng đối với các loại công trình, hạng mục công trình."," - Không ít hơn 24 tháng đối với công trình, hạng mục công trình cấp đặc biệt và cấp I;
- Không ít hơn 12 tháng đối với công trình cấp II và cấp III.
- Không ít hơn 06 tháng đối với công trình cấp IV.","Không ít hơn 24 tháng đối với các loại công trình, hạng mục công trình.",,2," Khoản 2, Điều 48 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
54,Nội dung nào thuộc Quyền và nghĩa vụ của nhà thầu thi công xây dựng,Nhà thầu thi công xây dựng có các quyền và nghĩa vụ được quy định trong hợp đồng thi công xây dựng.,Quyết định giá xây dựng công trình  khi xác định giá dự thầu để tham gia đấu thầu.,Bồi thường thiệt hại cho chủ đầu tư.,"Cung cấp thông tin dữ liệu của dự án theo yêu cầu của cơ quan quản lý nhà nước; phối hợp hoặc tổ chức thu thập thông tin, dữ liệu liên quan đến chi phí đầu tư xây dựng theo yêu cầu của cơ quan quản lý nhà nước.",4,"Khoản 5, Điều 39 Nghị định 10/2021/NĐ-CP"
55,Chủ thể nào sau đây có trách nhiệm lập tiến độ chi tiết thi công xây dựng công trình?,Chủ đầu tư,Nhà thầu thiết kế xây dựng,Nhà thầu thi công xây dựng xây dựng,Nhà thầu tư vấn giám sát,3,Khoản 13 Điều 13 Nghị định 06/2021/NĐ-CP ngày 26/01/2021
