id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
31,"Đối với chi nhánh không tổ chức phòng Kiểm tra, giám sát nội bộ, nhiệm vụ: ""Thực hiện công tác phòng, chống rửa tiền và tài trợ khủng bố, tuân thủ FATCA"" thực hiện ở phòng nghiệp vụ nào?",Phòng Tổng hợp.,Phòng Khách hàng Doanh nghiệp.,Phòng Kế hoạch và Quản lý rủi ro.,Phòng Kế toán và Ngân quỹ.,4,"Khoản 6, Khoản 10, Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
32,"Đối với chi nhánh không tổ chức phòng Kiểm tra, giám sát nội bộ, nhiệm vụ: ""Bảo mật hồ sơ, tài liệu liên quan đến công tác kiểm tra, giám sát, thanh tra, kiểm toán nội bộ theo quy định của pháp luật, NHNN và Agribank"" thực hiện ở phòng nghiệp vụ nào?",Phòng Tổng hợp.,Phòng Khách hàng Doanh nghiệp.,Phòng Kế hoạch và Quản lý rủi ro.,Phòng Kế toán và Ngân quỹ.,1,"Khoản 6, Khoản 10, Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
33,"Nhiệm vụ:""Phối hợp làm việc với các cơ quan báo chí, truyền thông; marketing các chương trình, sản phẩm dịch vụ"" là nhiệm vụ của phòng nghiệp vụ nào?",Phòng Tổng hợp.,Phòng Khách hàng Doanh nghiệp.,Phòng Khách hàng Cá nhân.,Cả 2 và 3 đều đúng.,4,"điểm d, khoản 2 và điểm d, khoản 3, Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
34,"Nhiệm vụ:""Trực tiếp thực hiện tìm kiếm, tiếp cận, phát triển, chăm sóc, quản lý khách hàng"" là nhiệm vụ của phòng nghiệp vụ nào?",Phòng Tổng hợp.,Phòng Khách hàng Doanh nghiệp.,Phòng Khách hàng Cá nhân.,Cả 2 và 3 đều đúng.,4,"điểm c, khoản 2 và điểm c, khoản 3, Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
35,"Theo quy định tại Quy chế tổ chức và hoạt động của Chi nhánh, Phòng giao dịch số 1589/QC-HĐTV-TCNS ngày 31/12/2024, Chi nhánh có trụ sở tại vùng nông thôn, trường hợp có chênh lệch thu chi trong 03 năm liên tiếp âm thì có bị bắt buộc chấm dứt hoạt động hay không?",Có.,Không.,,,2,"điểm b, khoản 3 Điều 17 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
36,Triết lý kinh doanh của Agribank là:,Mang phồn thịnh đến ngân hàng.,Mang phồn thịnh đến với khách hàng.,Mang phồn thịnh cho khách hàng.,Mang phồn thịnh đến khách hàng.,4,Triết lý kinh doanh của Agribank – Cẩm nang văn hóa Agribank
37,Bản sắc văn hóa của Agribank bao gồm tính chất nào?,"Trung thực, Kỷ cương, Chất lượng, Hiệu quả.","Trung thực, Kỷ cương, Sáng tạo, Chất lượng, Hiệu quả.","Trung thực, Kỷ cương, Sáng tạo, Chất lượng, Gắn kết.","Trung thực, Kỷ cương, Sáng tạo, Chất lượng, Hiệu quả, Gắn kết.",2,Bản sắc văn hóa của Agribank – Cẩm nang văn hóa Agribank
38,"Theo Cẩm nang văn hóa Agribank, anh/chị xử lý thế nào trong trường hợp không có đủ danh thiếp cho tất cả thành viên trong đoàn làm việc của đối tác? ",Trao danh thiếp cho một số người ở gần.,Trao hết số danh thiếp mình có và xin lỗi những người không được nhận.,Chỉ cần đưa danh thiếp cho người dẫn đầu đoàn đối tác kèm theo lời tự giới thiệu.,Không trao danh thiếp.,3,Chuẩn mực trong giới thiệu và tự giới thiệu – Cẩm nang văn hóa Agribank
39,"Trường hợp họp với đối tác bên ngoài tại trụ sở của Agribank, cán bộ Agribank chỉ rời phòng họp khi nào?",Khi kết thúc chương trình làm việc.,Sau khi người điều hành cuộc họp tuyên bố kết thúc cuộc họp.,Khi hết thời gian như đã thỏa thuận trước với đối tác.,Khi đối tác đã rời khỏi phòng họp.,4,Chuẩn mực trong hội họp -– Cẩm nang văn hóa Agribank
40,"Cách xưng hô nào sau đây không đúng trong ứng xử, giao tiếp với đồng nghiệp được quy định tại Cẩm nang văn hóa Agribank?","Bằng “ông/bà” nếu đồng nghiệp đáng tuổi ông, bà."," Bằng “cô, chú, bác” nếu khoảng cách tuổi quá chênh lệch."," Bằng “anh/chị” nếu đồng nghiệp đáng tuổi anh, chị.", Bằng chức danh đối với đồng nghiệp có chức danh.,1,"Chuẩn mực trong ứng xử, giao tiếp với đồng nghiệp – Cẩm nang văn hóa Agribank "
41,Câu chào nào sau đây không đúng theo quy định trong Cẩm nang văn hóa Agribank?, Chào sếp!, Chào Giám đốc!, Chào bác!, Chào anh!,1,"Chuẩn mực trong ứng xử, giao tiếp với đồng nghiệp – Cẩm nang văn hóa Agribank "
42,"Theo Cẩm nang văn hóa Agribank, người được chào phải chào lại trong trường hợp nào?", Người chào ít tuổi hơn., Người chào có chức vụ cao hơn., Người chào làm cùng bộ phận., Tất cả các đáp án.,4,"Chuẩn mực trong ứng xử, giao tiếp với đồng nghiệp – Cẩm nang văn hóa Agribank"
43,"Theo Cẩm nang văn hóa Agribank, cách ứng xử nào đúng khi nghe cấp dưới phản ánh những ý kiến trái chiều?",Tôn trọng và lắng nghe., Ngắt lời để giải thích các ý kiến sai., Phủ nhận quan điểm của cấp dưới.,"Phê bình, nhắc nhở để cấp dưới không tái phạm.",1,"Chuẩn mực trong ứng xử, giao tiếp của cấp trên đối với cấp dưới – Cẩm nang văn hóa Agribank"
44,"Theo Cẩm nang văn hóa Agribank, vị trí ngồi giữa ở ghế sau trong xe ô tô con 4 chỗ dành cho đối tượng nào?",Đối tượng ưu tiên số 1.,Đối tượng ưu tiên số 2.,Người có chức vụ thấp hơn.,Người có chức vụ cao hơn.,3,Chuẩn mực trong ngồi xe ô tô – Cẩm nang văn hóa Agribank
45,"Các cán bộ Agribank thấm nhuần, tôi luyện các chuẩn mực đạo đức theo tư tưởng Chủ tịch Hồ Chí Minh gồm:","Cần, Kiệm, Liêm, Chính.",Chí công vô tư.,Cả 1 và 2.,,3,Đạo đức và trách nhiệm của cán bộ viên chức Agribank – Cẩm nang văn hóa Agribank
46,"Để đảm bảo tuân thủ nguyên tắc bảo mật thông tin đối với khách hàng và đối tác, cán bộ Agribank cần theo:",Quy định của Ngân hàng Nhà nước và quy định nội bộ của Agribank.,Quy định của Pháp luật và quy định của nội bộ Agribank.,Quy định nội bộ của Agribank và Luật các Tổ chức tín dụng.,,2,"Trách nhiệm của cán bộ, viên chức Agribank đối với khách hàng và đối tác – Cẩm nang văn hóa Agribank"
47,"Cán bộ Agribank được nhận quà tặng từ khách hàng, đối tác trong trường hợp nào?",Quà tặng là một chiếc điện thoại thông minh đời mới., Quà tặng là một voucher mua hàng trị giá 1.000.000 đồng., Quà tặng là 500.000 đồng tiền mặt., Không được phép nhận quà.,4,Trách nhiệm của cán bộ viên chức Agribank  – Cẩm nang văn hóa Agribank
48,Agribank thực hiện và xây dựng Văn hóa Agribank để:, Văn hóa doanh nghiệp trở thành cầu nối giữa các thế hệ trong mái nhà chung Agribank.,Văn hóa doanh nghiệp trở thành nguồn sức mạnh nội lực trong kinh doanh., Văn hóa doanh nghiệp trở thành chuỗi giá trị giàu bản sắc của lớp lớp thế hệ người lao động Agribank., Đem lại sự hài lòng cao nhất cho khách hàng.,2,"Website Agribank, phần Văn hóa"
49,"Theo Cẩm nang văn hóa Agribank, đâu KHÔNG phải là chuẩn mực trong giới thiệu và tự giới thiệu của cán bộ Agribank?","Khi gặp đối tác lần đầu phải tự giới thiệu với đối tác về bản thân một cách ngắn gọn, dễ hiểu, khiêm tốn.","Đối với các đối tác lần đầu tiếp xúc, nên sử dụng danh thiếp để phần giới thiệu được đầy đủ, chu đáo, thể hiện sự tôn trọng nhau.","Trường hợp đi cùng đồng nghiệp khác, thực hiện giới thiệu với đối tác những người đi cùng trước, rồi mới tự giới thiệu về mình.","Hướng mắt nhìn đối tác, mỉm cười thể hiện sự tôn trọng và thân thiện.",4,Chuẩn mực trong giới thiệu và tự giới thiệu – Cẩm nang văn hóa Agribank
50,"Theo Cẩm nang văn hóa Agribank, khi cùng ngồi trong các loại xe ô tô có 7 chỗ trở lên, nếu bạn là nam giới và không bị say xe thì nên:",Ngồi ngay ngắn ở ghế phụ phía trước để hỗ trợ lái xe khi cần.,"Nhường các hàng ghế phía trên cho lãnh đạo, người lớn tuổi, nữ giới…",Ngồi ngay gần cửa xe.,Chọn chỗ ngồi đẹp nhất có thể cho mình.,2,Chuẩn mực trong ngồi xe ô tô – Cẩm nang văn hóa Agribank
51,"Trách nhiệm của cán bộ, nhân viên Agribank đối với đồng nghiệp được thể hiện qua các hành vi:","Việc ai người ấy làm, không làm chồng lấn sang công việc do người khác đảm nhận.","Sẵn sàng hợp tác hỗ trợ lẫn nhau trong thực hiện công việc; không đùn đẩy công việc cho đồng nghiệp; cùng nhau tạo dựng môi trường làm việc chuyên nghiệp, nhân văn.",Hợp tác hỗ trợ nhau trong công việc khi được cấp trên gợi ý hoặc chỉ thị.,,2,Mục 2.2 : Trách nhiệm đối với đồng nghiệp Agribank - Phần III  Cẩm nang văn hóa Agribank
52,"Theo Cẩm nang văn hóa Agibank, thế nào là trách nhiệm đối với cộng đồng?","Tôn trọng phong tục tập quán, kế thừa, phát huy truyền thống tốt đẹp và các giá trị có ý nghĩa nhân văn; tích cực tham gia bảo vệ môi trường; tích cực tham gia các hoạt động xã hội từ thiện.","Tham gia các hoạt động xã hội từ thiện, tham gia bảo vệ môi trường.","Tôn trọng phong tục tập quán, tích cực tham gia bảo vệ môi trường.",Phát huy truyền thống tốt đẹp và các giá trị có ý nghĩa nhân văn.,1,Mục 2.3. Trách nhiệm đối với Cộng đồng - Phần III
53,"Theo Cẩm nang văn hóa Agribank, chuẩn mực nào không đúng trong chuẩn mực Chào hỏi đối với cán bộ viên chức Agribank?","Đứng thẳng lưng, cất tiếng chào hoặc gật đầu chào hoặc bắt tay chào.","Hướng mắt nhìn đối tác, mỉm cười thể hiện sự tôn trọng và thân thiện.",Cấp trên chủ động bắt tay cấp dưới. Người lớn tuổi hơn chủ động bắt tay người ít tuổi.,Cấp dưới chủ động bắt tay cấp trên. Người nhỏ tuổi hơn chủ động bắt tay người lớn tuổi.,4,Chuẩn mực trong Chào hỏi – Cẩm nang văn hóa Agribank
54, Những yếu tố thể hiện tầm nhìn của Agribank?,Phát triển - an toàn - hiệu quả - bền vững.,Phát triển - hiệu quả - chất lượng - bền vững., Tăng trưởng - an toàn - hiệu quả - bền vững.,Tăng trưởng - phát triển - bền vững - hiệu quả.,3,Tầm nhìn của Agribank – Cẩm nang văn hóa Agribank
55,"Trong văn hóa Agribank, thứ tự giới thiệu và tự giới thiệu được thực hiện như nào?","Giới thiệu bản thân rồi đến những người đi cùng, giới thiệu người có chức vụ thấp rồi đến cao.","Giới thiệu bản thân rồi đến những người đi cùng, giới thiệu người có chức vụ cao rồi đến thấp."," Giới thiệu những người đi cùng rồi đến bản thân, giới thiệu người có chức vụ cao rồi đến thấp."," Giới thiệu người đi cùng rồi đến bản thân, giới thiệu người có chức vụ thấp rồi đến cao.",3,Chuẩn mực trong giới thiệu và tự giới thiệu – Cẩm nang văn hóa Agribank
56,"Trong ứng xử với khách hàng và đối tác, thái độ cần có của cán bộ Agribank bao gồm:",Tôn trọng.,"Lịch sự, chân thành.","Thân thiện, đúng mực",Cả 3 đáp án trên,4,"Chuẩn mực trong ứng xử, giao tiếp với khách hàng và đối tác– Cẩm nang văn hóa Agribank"
57,Cán bộ Agribank được phép vỗ vai khách hàng trong trường hợp nào sau đây?,"Khách hàng đã quan hệ lâu năm để thể hiện sự thân mật, gần gũi","Để chia sẻ, an ủi",Khách hàng là người ít tuổi hơn,Không được phép,4,"Chuẩn mực trong ứng xử, giao tiếp với khách hàng và đối tác – Cẩm nang văn hóa Agribank"
58,Các chuẩn mực đạo đức mà cán bộ Agribank phấn đấu thực hiện là gì?,"Cần, Kiệm, Liêm, Chính.","Cần, Kiệm, Liêm, Chính, Chí công vô tư.","Nghiêm túc chấp hành pháp luật, quy định nội bộ của Agribank.",Trung thành vì lợi ích của Agribank.,2,Đạo đức và trách nhiệm của cán bộ viên chức Agribank – Cẩm nang văn hóa Agribank
59,Cán bộ Agribank tuyệt đối tuân thủ nguyên tắc bảo mật thông tin khách hàng và đối tác theo:,Quy định của pháp luật và Luật các Tổ chức tín dụng.,Quy định nội bộ của Agribank và Luật các Tổ chức tín dụng.,Quy định của Pháp luật và quy định của nội bộ Agribank.,Quy định của Ngân hàng Nhà nước và quy định nội bộ của Agribank.,3,"Trách nhiệm của cán bộ, viên chức Agribank đối với khách hàng và đối tác – Cẩm nang văn hóa Agribank"
60,Trường hợp cán bộ Agribank không thể tự giải quyết hoặc nhận thấy không đáp ứng được yêu cầu của khách hàng/đối tác thì phải xử lý như thế nào?,Từ chối ngay yêu cầu của khách hàng/đối tác.,"Kịp thời báo cáo đúng bản chất, sự việc lên cấp lãnh đạo để xin ý kiến.","Tuyệt đối không được tự ý từ chối yêu cầu của khách hàng/đối tác khi chưa tìm hiểu, nắm rõ bản chất của vấn đề, sự việc.","Kịp thời báo cáo đúng bản chất, sự việc lên cấp lãnh đạo trực tiếp để xin ý kiến giải quyết. Tuyệt đối không được tự ý từ chối yêu cầu của khách hàng/đối tác khi chưa tìm hiểu nắm rõ bản chất của vấn đề, sự việc.",4,"Trách nhiệm của cán bộ, viên chức Agribank đối với khách hàng và đối tác – Cẩm nang văn hóa Agribank"
61,"Theo Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024, khi trao đổi công việc với đồng nghiệp ngang cấp, cán bộ Agribank cần:",Tránh tranh luận để không làm mất lòng đồng nghiệp,Chỉ đưa ra ý kiến khi chắc chắn đúng,Tập trung vào ý kiến cá nhân hơn là thảo luận nhóm,"Trao đổi công việc công khai, cởi mở, sẵn sàng lắng nghe ý kiến, tranh luận và góp ý trên tinh thần cầu thị, xây dựng",4,Điểm c Khoản 3 Điều 6 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
62,Nguyên tắc nào cần được áp dụng  khi giải quyết bất đồng quan điểm trong công việc theo Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024?,“Lắng nghe - Hợp tác”,“Minh bạch - Lắng nghe - Hợp tác”,“Hợp tác”,“Lắng nghe”,2,Khoản 4 Điều 6 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
