id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
11,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, nội dung giám sát của Tổng Giám đốc về kiểm soát nội bộ đối với các chi nhánh là gì? (Chọn câu trả lời đúng nhất)","Thực hiện các quy định về kiểm soát nội bộ, văn hóa kiểm soát, chuẩn mực đạo đức nghề nghiệp; vận hành hệ thống thông tin quản lý; xử lý, khắc phục các tồn tại, hạn chế về kiểm soát nội bộ theo yêu cầu, kiến nghị của cấp có thẩm quyền; thực hiện việc tự đánh giá hiệu quả của kiểm soát nội bộ.","Thực hiện các quy định về kiểm soát nội bộ, văn hóa kiểm soát, chuẩn mực đạo đức nghề nghiệp; xử lý, khắc phục các tồn tại, hạn chế về kiểm soát nội bộ theo yêu cầu.","Thực hiện các quy định về xử lý, khắc phục các tồn tại, hạn chế về kiểm soát nội bộ theo yêu cầu, kiến nghị của cấp có thẩm quyền.",Thực hiện các quy định về kiến nghị của cấp có thẩm quyền.,1,Khoản 1 Điều 29 Mục 2 Chương III Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
12,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, trách nhiệm của các đơn vị Trụ sở chính về kiểm soát nội bộ bao gồm các nội dung nào dưới đây?","Tham mưu xây dựng quy định nội bộ theo chức năng, nhiệm vụ; thực hiện kiểm tra, giám sát định kỳ, đột xuất đối với các lĩnh vực/đơn vị được phân công, ủy quyền.","Thực hiện kiểm tra, giám sát định kỳ, đột xuất đối với các lĩnh vực/đơn vị được phân công, ủy quyền; tham mưu xây dựng quy định nội bộ theo chức năng, nhiệm vụ; tự kiểm tra, đánh giá về kiểm soát nội bộ hàng năm theo lĩnh vực được phân công, ủy quyền.","Thực hiện kiểm tra, giám sát định kỳ, đột xuất đối với các lĩnh vực/đơn vị được phân công, ủy quyền.","Thực hiện tự kiểm tra, đánh giá về kiểm soát nội bộ hàng năm theo lĩnh vực được phân công, ủy quyền; tham mưu xây dựng quy định nội bộ theo chức năng, nhiệm vụ.",2,Khoản 1 Điều 52 Chương VI Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
13,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, trách nhiệm của Chi nhánh loại I về kiểm soát nội bộ bao gồm các nội dung nào dưới đây?","Chỉ đạo và triển khai công tác kiểm tra, giám sát tại chi nhánh; đề xuất cấp có thẩm quyền sửa đổi, bổ sung quy định nội bộ hoặc ban hành văn bản sửa đổi, bổ sung theo thẩm quyền của chi nhánh; thực hiện trách nhiệm của đơn vị được kiểm tra, giám sát; tự kiểm tra, đánh giá về kiểm soát nội bộ hàng năm; thực hiện chế độ báo cáo theo quy định.","Chỉ đạo và triển khai công tác kiểm tra, giám sát tại chi nhánh.","Chỉ đạo và triển khai công tác kiểm tra, giám sát tại chi nhánh; thực hiện trách nhiệm của đơn vị được kiểm tra, giám sát; tự kiểm tra, đánh giá về kiểm soát nội bộ hàng năm; thực hiện chế độ báo cáo theo quy định","Thực hiện trách nhiệm của đơn vị được kiểm tra, giám sát; tự kiểm tra, đánh giá về kiểm soát nội bộ hàng năm; thực hiện chế độ báo cáo theo quy định.",1,Điều 53 Chương VI Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
14,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, tiêu chí xác định mức độ ảnh hưởng của các sự cố rủi ro gồm các tiêu chí nào sau đây? ","Ảnh hưởng đến khả năng thay đổi quyết định, dự định của khách hàng trong việc sử dụng sản phẩm, dịch vụ của Agribank; tổn thất về danh tiếng, uy tín, tài chính; chi phí khắc phục phát sinh nhằm khôi phục trạng thái hoạt động kinh doanh bình thường; ảnh hưởng từ các biện pháp kiểm soát, giám sát, chế tài xử lý của cơ quan quản lý.","Tổn thất về danh tiếng, uy tín, tài chính; chi phí khắc phục phát sinh nhằm khôi phục trạng thái hoạt động kinh doanh bình thường; ảnh hưởng từ các biện pháp kiểm soát, giám sát, chế tài xử lý của cơ quan quản lý.","Ảnh hưởng đến khả năng thay đổi quyết định, dự định của khách hàng trong việc sử dụng sản phẩm, dịch vụ của Agribank; tổn thất về danh tiếng, tài chính; chi phí khắc phục phát sinh nhằm khôi phục trạng thái hoạt động kinh doanh bình thường; ảnh hưởng từ các biện pháp kiểm soát, giám sát, chế tài xử lý của cơ quan quản lý.","Tổn thất về tài chính; chi phí khắc phục phát sinh nhằm khôi phục trạng thái hoạt động kinh doanh bình thường; tổn thất về danh tiếng, uy tín; ảnh hưởng từ các biện pháp kiểm soát, giám sát, chế tài xử lý của cơ quan quản lý.",1,Điểm k khoản 1 Điều 46 Chương V Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
15,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, hệ thống thông tin quản lý của Agribank phải đảm bảo đầy đủ yêu cầu nào sau đây?","Bảo mật, bảo đảm an toàn thông tin, dữ liệu; hỗ trợ thực hiện cơ chế trao đổi thông tin theo quy định; có các hệ thống dự phòng; cập nhật tình hình tuân thủ các quy định của pháp luật, NHNN.","Thông tin, dữ liệu cung cấp đầy đủ, chính xác, kịp thời; được rà soát, đánh giá lại tối thiểu hàng năm và đột xuất.","Hỗ trợ thực hiện cơ chế trao đổi thông tin theo quy định; thông tin, dữ liệu cung cấp đầy đủ, chính xác, kịp thời; được cập nhật thường xuyên; bảo mật, bảo đảm an toàn thông tin.","Thông tin, dữ liệu cung cấp đầy đủ, chính xác, kịp thời; bảo mật, bảo đảm an toàn thông tin, dữ liệu và có các hệ thống dự phòng; được rà soát, đánh giá lại tối thiểu hàng năm và đột xuất; được nâng cấp, cập nhật thường xuyên; hỗ trợ thực hiện cơ chế trao đổi thông tin theo quy định; cập nhật tình hình tuân thủ các quy định của pháp luật, NHNN và quy định nội bộ của Agribank.",4,Khoản 3 Điều 42 Chương IV Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
16,Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB quy định Hoạt động kiểm soát nội bộ là?,"Là việc giám sát, kiểm tra của tổ chức, cá nhân, người làm công tác kiểm soát nội bộ và/hoặc những người có thẩm quyền đối với các ban, phòng, bộ phận, cá nhân trong quá trình thực thi nhiệm vụ được giao nhằm phát hiện các bất cập, thiếu sót, vi phạm để kịp thời xử lý hoặc kiến nghị cấp có thẩm quyền xử lý, đảm bảo việc quản lý, sử dụng các nguồn lực và hoạt động của đơn vị an toàn, hiệu quả, tuân thủ pháp luật.","Là việc giám sát các tổ chức,cá nhân, người làm công tác kiểm soát nội bộ.","Là việc kiểm tra của tổ chức, cá nhân, người làm công tác kiểm soát nội bộ ","Là việc kiểm tra, giám sát của các tổ chức, cá nhân người làm công tác kiểm soát nội bộ.",1,Khoản 19 Điều 2 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
17,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, bộ máy kiểm tra, kiểm soát nội bộ của Agribank được tổ chức và hoạt động như thế nào?",Được tổ chức và hoạt động từ Trụ sở chính Agribank đến các chi nhánh.,"Được tổ chức và hoạt động tại đơn vị sự nghiệp, văn phòng đại diện của Agribank.",Được tổ chức và hoạt động tại công ty do Agribank nắm giữ 100% vốn điều lệ.,Tất cả các đáp án trên. ,4,Khoản 22 Điều 2 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
18,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, chuẩn mực đạo đức nghề nghiệp của kiểm tra viên nội bộ không áp dụng đối với đối tượng nào?",Thành viên Ban kiểm soát,Kiểm toán viên nội bộ,Kiểm tra viên ,Đáp án 1 và 2,4,Khoản 2 Điều 3 Quy chế Kiểm soát nội bộ  số 539/QC-HĐTV-KTNB của Agribank  ngày 31/8/2022.
19,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, quy định giám sát tuân thủ là?","Phương pháp giám sát thông qua theo dõi việc chấp hành các quy định của pháp luật và các quy trình/quy định nội bộ của Agribank; các chỉ đạo, yêu cầu của Cơ quan Nhà nước có thẩm quyền và Cơ quan/đơn vị quản lý cấp trên của đối tượng giám sát","Phương pháp giám sát thông qua đánh giá việc chấp hành các quy định của pháp luật và các quy trình/quy định nội bộ của Agribank; các chỉ đạo, yêu cầu của Cơ quan Nhà nước có thẩm quyền và Cơ quan/đơn vị quản lý cấp trên của đối tượng giám sát","Phương pháp giám sát thông qua theo dõi, đánh giá việc chấp hành các quy định của pháp luật và các quy trình/quy định nội bộ của Agribank; các chỉ đạo, yêu cầu của Cơ quan Nhà nước có thẩm quyền và Cơ quan/đơn vị quản lý cấp trên của đối tượng giám sát",Tất cả đáp án trên.,3,Khoản 25 Điều 2 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
20,Nguyên tắc kiểm soát kép theo Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB là gì?,"Việc phân công thực hiện nhiệm vụ và xử lý nghiệp vụ, nhất là nghiệp vụ có rủi ro cao tại đơn vị có ít nhất hai người thực hiện nhằm kiểm tra, giám sát lẫn nhau bảo đảm chấp hành đúng quy định, bảo vệ an toàn tài sản và nâng cao hiệu quả công tác, ngoại trừ những trường hợp pháp luật có quy định khác.","Việc phân công thực hiện nhiệm vụ và xử lý nghiệp vụ, kiểm tra, giám sát lẫn nhau bảo đảm chấp hành đúng quy định, bảo vệ an toàn tài sản và nâng cao hiệu quả công tác, ngoại trừ những trường hợp pháp luật có quy định khác.","Việc phân công thực hiện nhiệm vụ và xử lý nghiệp vụ, nhất là nghiệp vụ có rủi ro cao tại đơn vị có ít nhất hai người thực hiện nhằm kiểm tra, giám sát lẫn nhau bảo đảm chấp hành đúng quy định, ngoại trừ những trường hợp pháp luật có quy định khác.",,1,Khoản 23 Điều 2 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
21,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, kiểm soát nội bộ được thực hiện thông qua hoạt động nào sau đây?",Kiểm soát nội bộ,Cơ chế trao đổi thông tin,Hệ thống thông tin quản lý,Tất cả các đáp án trên.,4, Khoản 8 Điều 6  Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
22,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, việc bố trí người làm công tác kiểm soát nội bộ chuyên trách phải đáp ứng tiêu chuẩn nào sau đây?",Về chuyên môn nghiệp vụ ,"Về kỹ năng, kinh nghiệm.",Về phẩm chất đạo đức theo quy định của Agribank.,Tất cả các đáp án trên.,4,Khoản 7 Điều 6 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
23,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Agribank tổ chức tự kiểm tra, đánh giá về kiểm soát nội bộ vào thời gian nào sau đây?",Định kỳ hằng tháng hoặc đột xuất,Định kỳ hằng quý hoặc đột xuất,Định kỳ hằng năm hoặc đột xuất,Tất cả các đáp án trên.,3,Khoản 1 Điều 13  Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
24,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, kiểm soát nội bộ thực hiện theo nguyên tắc nào sau đây?","Đảm bảo tính khách quan, trung thực, tuân thủ pháp luật và các quy chế, quy trình nghiệp vụ và quy định nội bộ của Agribank; phù hợp quy mô, tính chất, đặc thù hoạt động của đơn vị.","Thực hiện theo chương trình, kế hoạch, kiểm tra, giám sát và các văn bản hướng dẫn nghiệp vụ của Agribank được Chủ tịch Hội đồng thành viên, Tổng Giám đốc hoặc trưởng các đơn vị phê duyệt. ","Ưu tiên nguồn lực, thời gian thực hiện kiểm tra, giám sát đối với những hoạt động, nghiệp vụ trọng yếu hoặc có rủi ro cao.",Tất cả các đáp án trên.,4,Điều 5 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
25,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, báo cáo đánh giá độc lập về kiểm soát nội bộ của Kiểm toán nội bộ thực hiện theo quy định của đơn vị nào?",Ngân hàng Nhà nước ,Agribank,Công ty kiểm toán,Đáp án 1 và 2,4,Tiết (i) điểm c Khoản 4 Điều 13 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
26,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, việc giám sát tình hình thanh tra, kiểm toán, kiểm tra tại Chi nhánh gồm những nội dung nào sau đây? ","Giám sát, nắm bắt thông tin về các cuộc thanh tra, kiểm toán, kiểm tra mới phát sinh tại Chi nhánh trong kỳ giám sát; Phối hợp, hỗ trợ Chi nhánh trong quá trình báo cáo, giải trình, làm việc với các đoàn thanh tra, kiểm toán, kiểm tra ngoài Agribank","Giám sát đánh giá công tác tổ chức, triển khai và kết quả khắc phục chỉnh sửa sau thanh tra, kiểm toán, kiểm tra","Giám sát việc xây dựng kế hoạch và tổ chức thực hiện tự kiểm tra, giám sát của Chi nhánh.",Tất cả các đáp án trên.,4,Khoản 4 Điều 32 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
27,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, hệ thống thông tin quản lý bao gồm các nội dung nào sau đây?","Các báo cáo nội bộ về kiểm soát nội bộ, quản lý rủi ro, đánh giá nội bộ về mức độ đủ vốn, kiểm toán nội bộ theo quy định của Ngân hàng Nhà nước và các thông tin quản lý khác theo quy định nội bộ của Agribank","Cơ cấu tổ chức quản lý, vận hành hệ thống thông tin quản lý, trong đó quy định cụ thể trách nhiệm sử dụng hệ thống thông tin quản lý của cá nhân, bộ phận, đơn vị có liên quan","Thu thập, xử lý, lưu trữ, cung cấp thông tin; xây dựng, gửi, tiếp nhận và xử lý báo cáo; Cơ sở hạ tầng công nghệ thông tin phù hợp.",Tất cả các đáp án trên. ,4,Khoản 2 Điều 42 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
28,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, giám sát phát hiện các dấu hiệu rủi ro có thể phát sinh liên quan đến một số nghiệp vụ chính/trọng yếu nào sau đây? ","Nghiệp vụ Tín dụng, Bảo lãnh; Nghiệp vụ Huy động vốn, giao dịch; Nghiệp vụ tài chính, kế toán; Nghiệp vụ kho quỹ; Nghiệp vụ thu hồi nợ xấu","Nghiệp vụ Phòng chống rửa tiền, phòng chống khủng bố, phòng chống phổ biến vũ khí hủy diệt và tuân thủ FATCA","Công tác áp dụng, duy trì Hệ thống quản lý chất lượng, Hệ thống quản lý an toàn thông tin theo các quy định nội bộ của Agribank; Hoạt động công nghệ thông tin, ngân hàng điện tử, ngân hàng số.",Tất cả các đáp án trên.,4,Điểm a khoản 3 Điều 32 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
29,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, hệ thống thông tin quản lý của Agribank được tổ chức để cung cấp thông tin, báo cáo nội bộ cho cá nhân/đơn vị nào sau đây?",Hội đồng thành viên,Ban Điều hành,"Hội đồng thành viên, Ban Kiểm soát, Tổng Giám đốc và các cá nhân, bộ phận, đơn vị liên quan để thực hiện chức năng, nhiệm vụ, đảm bảo tuân thủ quy định của pháp luật, Ngân hàng Nhà nước và quy định nội bộ của Agribank",Đơn vị Trụ sở chính,3,Khoản 1 Điều 42 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
30,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Quy trình nội bộ về thanh toán giao dịch tự doanh phải đáp ứng các yêu cầu nào sau đây ?","Cá nhân, bộ phận thực hiện thanh toán giao dịch tự doanh gửi và nhận xác nhận giao dịch đối với các giao dịch tự doanh đã thực hiện theo các hình thức xác nhận phù hợp với quy định của pháp luật và quy định nội bộ của Agribank (bao gồm cả việc theo dõi, kiểm tra việc xác nhận giao dịch của khách hàng, thông báo cho khách hàng nếu không nhận được xác nhận của khách hàng hoặc nội dung xác nhận chưa đầy đủ, có sai sót)","Nội dung xác nhận giao dịch bao gồm các điều khoản, các thông tin về giao dịch. Trường hợp giao dịch tự doanh được thực hiện thông qua bên môi giới, nội dung xác nhận phải có thông tin của bên môi giới",Các chênh lệch phát hiện trong quá trình thanh toán phải được bộ phận thực hiện thanh toán giao dịch tự doanh xử lý kịp thời.,Tất cả các đáp án trên,4,Khoản 4 Điều 10 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
31,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Agribank xây dựng chuẩn mực đạo đức nghề nghiệp đối với cán bộ ( kiểm tra viên) thực hiện nhiệm vụ kiểm tra, giám sát, đảm bảo nguyên tắc nào sau đây?","Cá nhân thực hiện nhiệm vụ, thẩm quyền được giao một cách trung thực vì lợi ích của Agribank; không lợi dụng địa vị, chức vụ, sử dụng thông tin, bí quyết, cơ hội kinh doanh và tài sản của Agribank để thu lợi cá nhân hoặc làm tổn hại tới lợi ích của Agribank","Các cá nhân, bộ phận, đơn vị có trách nhiệm báo cáo kịp thời với cấp có thẩm quyền khi phát hiện hành vi quy định tại điểm a, khoản 1 Điều này và các hành vi vi phạm quy định của pháp luật, quy định nội bộ của Agribank","Chuẩn mực đạo đức nghề nghiệp đối với cán bộ (kiểm tra viên) thực hiện nhiệm vụ kiểm tra, giám sát của Agribank do Ban Tổ chức nhân sự đầu mối xây dựng trình cấp thẩm quyền ban hành",Tất cả các đáp án trên.,4,Khoản 1 Điều 3 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
32,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, quy định trách nhiệm của kế toán trưởng:","Thực hiện các quy định của pháp luật về kế toán, tài chính đối với Agribank; tổ chức điều hành bộ máy kế toán, lập báo cáo tài chính theo quy định của pháp luật về kế toán; tổ chức thực hiện công tác kế toán toàn hệ thống","Giám sát tài chính tại Agribank; Kiểm tra, giám sát các khoản thu, chi tài chính, các nghĩa vụ thu, nộp, thanh toán nợ; kiểm tra việc quản lý, sử dụng tài sản và nguồn hình thành tài sản; phát hiện và ngăn ngừa các hành vi vi phạm pháp luật về tài chính, kế toán"," Phân tích thông tin, số liệu kế toán; tham mưu, đề xuất các giải pháp phục vụ yêu cầu quản trị và quyết định kinh tế, tài chính của Agribank; Báo cáo bằng văn bản cho HĐTV và Tổng giám đốc khi phát hiện các vi phạm pháp luật về tài chính, kế toán; cung cấp thông tin, số liệu kế toán theo quy định của pháp luật",Tất cả các đáp án trên,4,Điều 49 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
33,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, người đại diện phần vốn góp của Agribank tại các công ty do Agribank đầu tư có trách nhiệm gì?",Phối hợp với Chủ tịch/Tổng Giám đốc Công ty xây dựng/ban hành quy định.,"Tổ chức hoạt động kiểm soát nội bộ tại công ty theo quy định của pháp luật, quy định nội bộ của Agribank về lĩnh vực đầu tư và Quy chế này."," Hàng năm, báo cáo đánh giá hoạt động kiểm soát nội bộ của công ty con trong vòng 15 ngày kể từ ngày kết thúc năm tài chính.",Tất cả các đáp án trên.,4,Điều 54 Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
